Date,Product,Category,Region,Channel,Units_Sold,Unit_Price,Stock_Remaining
2023-01-01,Printer,Electronics,East,Store,47,1152,374
2023-01-02,Monitor,Electronics,East,Store,13,1399,91
2023-01-03,Headphones,Accessories,South,Online,16,168,266
2023-01-04,Printer,Electronics,South,Store,18,326,98
2023-01-05,Keyboard,Accessories,North,Online,7,1103,206
2023-01-06,Headphones,Accessories,South,Online,45,454,7
2023-01-07,Headphones,Accessories,North,Online,36,40,467
2023-01-08,Printer,Electronics,West,Online,41,894,369
2023-01-09,Mouse,Accessories,North,Store,30,401,442
2023-01-10,Keyboard,Accessories,West,Online,42,264,404
2023-01-11,Printer,Electronics,North,Store,41,1116,320
2023-01-12,Keyboard,Accessories,East,Store,7,1492,92
2023-01-13,Keyboard,Accessories,South,Online,15,1119,407
2023-01-14,Headphones,Accessories,West,Online,40,717,157
2023-01-15,Monitor,Electronics,North,Online,19,609,359
2023-01-16,Keyboard,Accessories,South,Online,43,409,98
2023-01-17,Tablet,Electronics,North,Store,37,1385,224
2023-01-18,Headphones,Accessories,South,Online,2,1333,339
2023-01-19,Mouse,Accessories,South,Store,42,587,440
2023-01-20,Monitor,Electronics,North,Online,48,1374,207
2023-01-21,Tablet,Electronics,West,Online,13,278,72
2023-01-22,Tablet,Electronics,West,Online,40,445,478
2023-01-23,Mouse,Accessories,East,Online,41,1049,400
2023-01-24,Monitor,Electronics,South,Store,43,25,58
2023-01-25,Headphones,Accessories,East,Store,43,210,286
2023-01-26,Laptop,Electronics,East,Online,31,167,63
2023-01-27,Monitor,Electronics,North,Store,16,424,255
2023-01-28,Mouse,Accessories,North,Store,42,277,47
2023-01-29,Tablet,Electronics,North,Online,44,749,278
2023-01-30,Headphones,Accessories,South,Online,6,109,197
2023-01-31,Monitor,Electronics,North,Store,28,843,157
2023-02-01,Laptop,Electronics,North,Store,32,29,310
2023-02-02,Laptop,Electronics,South,Store,44,1130,6
2023-02-03,Keyboard,Accessories,South,Store,10,857,247
2023-02-04,Keyboard,Accessories,West,Online,18,1194,367
2023-02-05,Printer,Electronics,North,Online,4,1007,231
2023-02-06,Mouse,Accessories,North,Store,9,644,105
2023-02-07,Monitor,Electronics,North,Online,7,49,493
2023-02-08,Monitor,Electronics,West,Store,8,147,458
2023-02-09,Printer,Electronics,North,Store,43,1121,97
2023-02-10,Tablet,Electronics,West,Online,7,440,267
2023-02-11,Tablet,Electronics,East,Store,41,1098,59
2023-02-12,Printer,Electronics,West,Store,40,324,499
2023-02-13,Tablet,Electronics,East,Online,3,565,307
2023-02-14,Keyboard,Accessories,North,Online,17,1148,492
2023-02-15,Monitor,Electronics,East,Store,2,1215,494
2023-02-16,Printer,Electronics,West,Store,15,41,410
2023-02-17,Monitor,Electronics,South,Online,46,1330,139
2023-02-18,Laptop,Electronics,East,Store,29,410,396
2023-02-19,Keyboard,Accessories,East,Store,48,636,327
2023-02-20,Headphones,Accessories,North,Online,22,168,463
2023-02-21,Keyboard,Accessories,West,Online,4,1315,189
2023-02-22,Printer,Electronics,East,Online,6,318,124
2023-02-23,Headphones,Accessories,East,Online,38,191,412
2023-02-24,Laptop,Electronics,East,Online,26,66,162
2023-02-25,Printer,Electronics,East,Online,11,645,59
2023-02-26,Mouse,Accessories,South,Store,26,226,412
2023-02-27,Monitor,Electronics,West,Store,17,472,30
2023-02-28,Laptop,Electronics,North,Online,24,1438,332
2023-03-01,Monitor,Electronics,North,Online,28,944,75
2023-03-02,Tablet,Electronics,South,Store,35,773,242
2023-03-03,Mouse,Accessories,West,Store,31,1344,316
2023-03-04,Mouse,Accessories,East,Store,13,727,257
2023-03-05,Laptop,Electronics,South,Online,35,1028,416
2023-03-06,Mouse,Accessories,West,Online,16,695,455
2023-03-07,Headphones,Accessories,East,Store,15,1219,189
2023-03-08,Mouse,Accessories,South,Online,43,874,488
2023-03-09,Monitor,Electronics,West,Online,18,802,376
2023-03-10,Monitor,Electronics,North,Online,47,1153,314
2023-03-11,Printer,Electronics,North,Store,37,703,295
2023-03-12,Monitor,Electronics,West,Store,48,982,176
2023-03-13,Printer,Electronics,North,Online,48,883,488
2023-03-14,Monitor,Electronics,West,Online,49,1245,287
2023-03-15,Headphones,Accessories,East,Online,41,187,293
2023-03-16,Printer,Electronics,West,Online,27,105,347
2023-03-17,Keyboard,Accessories,East,Online,35,868,206
2023-03-18,Tablet,Electronics,South,Store,45,1094,214
2023-03-19,Laptop,Electronics,West,Online,35,1155,343
2023-03-20,Monitor,Electronics,South,Online,28,461,140
2023-03-21,Mouse,Accessories,North,Online,39,290,84
2023-03-22,Monitor,Electronics,East,Store,38,363,181
2023-03-23,Mouse,Accessories,West,Store,9,1226,331
2023-03-24,Tablet,Electronics,South,Online,12,522,127
2023-03-25,Tablet,Electronics,East,Store,15,1053,268
2023-03-26,Tablet,Electronics,East,Store,21,513,38
2023-03-27,Mouse,Accessories,North,Store,35,1277,22
2023-03-28,Monitor,Electronics,North,Store,42,1341,241
2023-03-29,Tablet,Electronics,East,Store,33,263,365
2023-03-30,Headphones,Accessories,East,Store,19,1394,106
2023-03-31,Printer,Electronics,West,Online,23,286,347
2023-04-01,Mouse,Accessories,East,Store,13,912,141
2023-04-02,Mouse,Accessories,West,Store,44,220,144
2023-04-03,Monitor,Electronics,East,Online,1,258,279
2023-04-04,Mouse,Accessories,North,Online,29,1377,244
2023-04-05,Mouse,Accessories,West,Online,24,934,441
2023-04-06,Tablet,Electronics,South,Online,16,1458,190
2023-04-07,Monitor,Electronics,North,Store,25,988,289
2023-04-08,Tablet,Electronics,West,Store,23,503,178
2023-04-09,Printer,Electronics,West,Store,28,1480,111
2023-04-10,Printer,Electronics,South,Store,47,265,213
2023-04-11,Tablet,Electronics,West,Online,16,1051,137
2023-04-12,Printer,Electronics,East,Store,43,171,373
2023-04-13,Monitor,Electronics,South,Store,38,1435,199
2023-04-14,Laptop,Electronics,North,Online,11,230,404
2023-04-15,Tablet,Electronics,North,Store,3,386,420
2023-04-16,Headphones,Accessories,East,Store,15,963,6
2023-04-17,Headphones,Accessories,North,Store,1,105,345
2023-04-18,Mouse,Accessories,West,Store,7,1098,12
2023-04-19,Printer,Electronics,West,Online,1,465,79
2023-04-20,Headphones,Accessories,East,Online,49,639,285
2023-04-21,Mouse,Accessories,North,Online,32,323,158
2023-04-22,Laptop,Electronics,North,Online,9,151,388
2023-04-23,Monitor,Electronics,East,Online,29,1464,415
2023-04-24,Monitor,Electronics,South,Store,26,923,271
2023-04-25,Monitor,Electronics,North,Store,23,1428,494
2023-04-26,Headphones,Accessories,South,Online,45,1007,200
2023-04-27,Laptop,Electronics,North,Online,43,1241,149
2023-04-28,Headphones,Accessories,North,Online,29,66,447
2023-04-29,Printer,Electronics,North,Store,38,776,427
2023-04-30,Headphones,Accessories,North,Online,33,1246,295
2023-05-01,Laptop,Electronics,West,Store,7,1304,492
2023-05-02,Laptop,Electronics,South,Store,12,709,292
2023-05-03,Printer,Electronics,South,Store,31,1067,333
2023-05-04,Laptop,Electronics,North,Store,32,706,271
2023-05-05,Laptop,Electronics,North,Online,20,805,42
2023-05-06,Monitor,Electronics,South,Store,17,359,467
2023-05-07,Printer,Electronics,West,Store,36,431,318
2023-05-08,Keyboard,Accessories,East,Online,3,1304,491
2023-05-09,Keyboard,Accessories,East,Store,1,305,14
2023-05-10,Laptop,Electronics,South,Store,27,1129,247
2023-05-11,Keyboard,Accessories,North,Store,47,869,171
2023-05-12,Keyboard,Accessories,North,Online,40,449,217
2023-05-13,Laptop,Electronics,West,Store,33,50,136
2023-05-14,Keyboard,Accessories,East,Store,20,622,320
2023-05-15,Headphones,Accessories,West,Online,14,459,226
2023-05-16,Mouse,Accessories,East,Online,36,1004,43
2023-05-17,Printer,Electronics,South,Store,5,1392,19
2023-05-18,Mouse,Accessories,East,Store,23,431,492
2023-05-19,Laptop,Electronics,West,Online,45,547,118
2023-05-20,Monitor,Electronics,West,Store,15,329,453
2023-05-21,Printer,Electronics,West,Online,6,968,233
2023-05-22,Laptop,Electronics,South,Store,33,1439,457
2023-05-23,Monitor,Electronics,East,Online,19,1381,367
2023-05-24,Mouse,Accessories,East,Store,13,693,378
2023-05-25,Laptop,Electronics,West,Online,29,456,416
2023-05-26,Printer,Electronics,East,Online,6,723,335
2023-05-27,Printer,Electronics,North,Online,15,682,355
2023-05-28,Tablet,Electronics,North,Online,16,384,261
2023-05-29,Headphones,Accessories,North,Online,24,942,82
2023-05-30,Keyboard,Accessories,East,Store,23,132,30
2023-05-31,Monitor,Electronics,South,Store,48,195,321
2023-06-01,Tablet,Electronics,South,Online,10,1192,273
2023-06-02,Keyboard,Accessories,South,Store,41,1221,233
2023-06-03,Keyboard,Accessories,South,Store,41,955,27
2023-06-04,Laptop,Electronics,North,Store,49,401,251
2023-06-05,Keyboard,Accessories,North,Store,17,1266,323
2023-06-06,Headphones,Accessories,West,Store,49,1302,252
2023-06-07,Printer,Electronics,East,Store,44,1232,448
2023-06-08,Tablet,Electronics,East,Online,45,325,238
2023-06-09,Keyboard,Accessories,South,Store,30,1421,489
2023-06-10,Laptop,Electronics,North,Store,44,621,369
2023-06-11,Headphones,Accessories,South,Store,46,362,463
2023-06-12,Mouse,Accessories,West,Online,10,175,428
2023-06-13,Printer,Electronics,East,Store,19,731,313
2023-06-14,Printer,Electronics,East,Store,29,1098,174
2023-06-15,Tablet,Electronics,South,Store,2,1485,193
2023-06-16,Printer,Electronics,West,Online,36,1243,179
2023-06-17,Keyboard,Accessories,East,Store,19,422,419
2023-06-18,Laptop,Electronics,West,Online,7,633,384
2023-06-19,Printer,Electronics,West,Store,26,816,294
2023-06-20,Printer,Electronics,South,Online,15,642,214
2023-06-21,Mouse,Accessories,North,Online,47,622,473
2023-06-22,Mouse,Accessories,South,Online,38,196,202
2023-06-23,Monitor,Electronics,North,Store,3,468,249
2023-06-24,Headphones,Accessories,West,Online,38,762,361
2023-06-25,Keyboard,Accessories,North,Online,16,320,256
2023-06-26,Printer,Electronics,West,Online,2,726,74
2023-06-27,Printer,Electronics,East,Online,31,326,343
2023-06-28,Laptop,Electronics,East,Store,28,770,201
2023-06-29,Monitor,Electronics,East,Store,7,888,141
2023-06-30,Headphones,Accessories,South,Store,30,1310,205
2023-07-01,Monitor,Electronics,South,Store,43,233,198
2023-07-02,Tablet,Electronics,West,Online,7,502,406
2023-07-03,Headphones,Accessories,East,Store,36,1305,170
2023-07-04,Printer,Electronics,South,Online,29,1110,405
2023-07-05,Printer,Electronics,East,Store,24,152,315
2023-07-06,Headphones,Accessories,South,Store,39,531,227
2023-07-07,Printer,Electronics,North,Store,4,230,410
2023-07-08,Keyboard,Accessories,North,Online,29,1007,439
2023-07-09,Headphones,Accessories,East,Store,44,1006,385
2023-07-10,Monitor,Electronics,West,Store,5,736,422
2023-07-11,Headphones,Accessories,South,Store,29,272,178
2023-07-12,Printer,Electronics,South,Online,30,57,365
2023-07-13,Keyboard,Accessories,North,Store,29,1086,274
2023-07-14,Keyboard,Accessories,North,Store,26,648,61
2023-07-15,Tablet,Electronics,West,Online,19,1448,326
2023-07-16,Monitor,Electronics,West,Online,26,1006,203
2023-07-17,Mouse,Accessories,West,Store,37,65,450
2023-07-18,Mouse,Accessories,East,Store,27,1497,446
2023-07-19,Headphones,Accessories,North,Store,30,324,366
2023-07-20,Tablet,Electronics,East,Online,30,252,132
2023-07-21,Laptop,Electronics,North,Online,3,264,71
2023-07-22,Headphones,Accessories,North,Online,43,779,77
2023-07-23,Tablet,Electronics,South,Store,7,1338,188
2023-07-24,Monitor,Electronics,North,Online,49,858,355
2023-07-25,Monitor,Electronics,North,Store,9,1426,70
2023-07-26,Monitor,Electronics,East,Online,41,177,262
2023-07-27,Monitor,Electronics,North,Online,42,1448,305
2023-07-28,Monitor,Electronics,East,Online,13,1044,45
2023-07-29,Tablet,Electronics,West,Store,15,236,223
2023-07-30,Tablet,Electronics,North,Store,5,947,327
2023-07-31,Keyboard,Accessories,North,Store,29,526,249
2023-08-01,Mouse,Accessories,East,Store,35,780,75
2023-08-02,Printer,Electronics,West,Online,27,923,73
2023-08-03,Monitor,Electronics,South,Store,27,600,141
2023-08-04,Laptop,Electronics,West,Online,8,1073,72
2023-08-05,Printer,Electronics,East,Store,32,646,101
2023-08-06,Tablet,Electronics,West,Store,20,539,93
2023-08-07,Laptop,Electronics,East,Online,10,294,68
2023-08-08,Laptop,Electronics,East,Online,13,511,64
2023-08-09,Laptop,Electronics,South,Store,29,846,192
2023-08-10,Keyboard,Accessories,North,Store,35,970,440
2023-08-11,Tablet,Electronics,East,Online,8,945,61
2023-08-12,Laptop,Electronics,East,Online,29,866,19
2023-08-13,Monitor,Electronics,South,Online,31,1079,240
2023-08-14,Headphones,Accessories,East,Online,41,1354,202
2023-08-15,Laptop,Electronics,North,Online,30,1087,409
2023-08-16,Keyboard,Accessories,South,Store,22,1198,299
2023-08-17,Printer,Electronics,North,Store,21,1120,194
2023-08-18,Tablet,Electronics,North,Store,12,1481,453
2023-08-19,Keyboard,Accessories,South,Store,11,1475,61
2023-08-20,Laptop,Electronics,East,Online,2,58,106
2023-08-21,Tablet,Electronics,North,Online,41,258,124
2023-08-22,Headphones,Accessories,North,Online,2,1056,300
2023-08-23,Laptop,Electronics,North,Store,34,141,266
2023-08-24,Keyboard,Accessories,North,Online,3,163,455
2023-08-25,Mouse,Accessories,South,Online,16,703,476
2023-08-26,Monitor,Electronics,South,Store,4,474,201
2023-08-27,Printer,Electronics,West,Store,23,387,161
2023-08-28,Keyboard,Accessories,West,Store,20,778,343
2023-08-29,Tablet,Electronics,North,Online,25,266,301
2023-08-30,Laptop,Electronics,East,Online,30,942,111
2023-08-31,Monitor,Electronics,North,Store,18,1088,336
2023-09-01,Laptop,Electronics,East,Store,42,784,31
2023-09-02,Tablet,Electronics,North,Online,11,394,458
2023-09-03,Laptop,Electronics,West,Store,29,1334,97
2023-09-04,Mouse,Accessories,West,Online,17,226,471
2023-09-05,Monitor,Electronics,East,Store,26,538,246
2023-09-06,Monitor,Electronics,North,Store,23,261,260
2023-09-07,Tablet,Electronics,East,Store,48,1157,190
2023-09-08,Printer,Electronics,West,Online,20,838,28
2023-09-09,Mouse,Accessories,North,Online,45,321,47
2023-09-10,Keyboard,Accessories,North,Store,2,1319,495
2023-09-11,Laptop,Electronics,East,Online,24,1139,249
2023-09-12,Headphones,Accessories,South,Store,31,1337,225
